catalogue:80/container_fs_io_current,catalogue:80/container_fs_usage_bytes,edge-router:80/container_fs_io_current,edge-router:80/container_fs_usage_bytes,orders:80/container_fs_io_current,orders:80/container_fs_usage_bytes,shipping:80/container_fs_io_current,shipping:80/container_fs_usage_bytes,payment:80/container_fs_usage_bytes,payment:80/container_fs_io_current,carts:80/container_fs_io_current,carts:80/container_fs_usage_bytes
0.2,2.018181818,75.86583038,408.9628216,0.2,2.109090909,16.89090909,169.4909091,0.0,0.0,0.0,0.0
0.200025458,2.01843871,64.92727273,329.0,0.199985456,2.054396044,16.88998782,168.0090177,0.0,0.0,0.0,0.0
0.20001091,2.018291907,59.94545455,316.8181818,0.199996364,2.072689587,17.76331339,177.6149525,0.0,0.0,0.0,0.0
0.200029095,2.000290951,68.78807164,382.7257023,0.20003637,2.036733952,14.05582326,143.6130557,0.0,0.0,0.0,0.0
0.19998182,2.036178529,80.75629488,456.6130352,0.2,2.018181818,9.563810251,99.07452863,0.0,0.0,0.0,0.0
0.199989092,2.018071742,63.58181818,397.9454545,0.20001091,2.036474717,13.45454545,132.36363640000002,0.0,0.0,0.0,0.0
0.199996364,2.018145125,84.13610091,565.5967138,0.2,2.018181818,15.4,151.2727273,0.0,0.0,0.0,0.0
0.20001091,2.054657527,91.1785026,620.2683539,0.2,2.0,14.92808699,146.37162030000005,0.0,0.0,0.0,0.0
0.2,2.054545455,93.29090909,620.3090909,0.199963643,2.0178149430000003,16.45454545,162.21818180000002,0.0,0.0,0.0,0.0
0.20001091,2.091023147,74.96363636,514.0727273,0.199992728,2.054470747,16.39940366,161.75775430000004,0.0,0.0,0.0,0.0
0.200003636,2.090947108,89.83636364,635.3454545,0.2,2.018181818,14.43741363,148.9017383,0.0,0.0,0.0,0.0
0.2,2.072727273,97.10909091,667.8909091,0.199985456,2.036215548,15.09090909,156.4545455,0.0,0.0,0.0,0.0
0.199967278,2.0360304680000003,93.51759251,626.5660515,0.199992728,2.109014218,17.16207617,172.7661122,0.0,0.0,0.0,0.0
0.2,2.018181818,72.92727273,490.7090909,0.200003636,2.109129257,18.36330249,185.4875366,0.0,0.0,0.0,0.0
0.200003636,2.072764959,83.75002273,558.3577286000002,0.2,2.145454545,20.32838155,205.0111824,0.0,0.0,0.0,0.0
0.199996364,2.109052563,94.3965674,597.1055597999998,0.2,2.1636363640000003,20.70833788,204.8107342,0.0,0.0,0.0,0.0
0.200003636,2.109129257,75.90771077,467.282413,0.2,2.145454545,20.16326976,199.9600007,0.0,0.0,0.0,0.0
0.2,2.145454545,74.81954217,464.2084402,0.2,2.1636363640000003,15.68976802,160.09744750000004,0.0,0.0,0.0,0.0
0.2,2.145454545,78.65454545,526.6909091,0.200007273,2.163715044,21.09052563,219.1232887,0.0,0.0,0.0,0.0
0.2,2.127272727,88.30909091,592.5454545,0.199978184,2.163400356,17.16363636,178.63636359999995,0.0,0.0,0.0,0.0
0.2,2.072727273,86.0,560.1454545,0.199996364,2.145415538,18.52760959,198.6763396,0.0,0.0,0.0,0.0
0.199970913,2.0906050030000003,74.38181818,517.0545455,0.2,2.1636363640000003,18.14545455,192.7454545,0.0,0.0,0.072729917,0.963671406
0.2,2.072727273,93.38181818,670.9090909,0.200014547,2.127427449,19.05419901,201.4508827,0.0,0.0,0.145454545,1.963636364
0.199989092,2.036252568,88.36363636,629.0363636,0.200003636,2.109129257,19.74365967,206.7630215,0.0,0.0,0.181824794,2.454634714
0.2,2.054545455,79.1047761,546.8247187000002,0.2,2.109090909,17.45454545,179.1454545,0.0,0.0,0.327272727,4.454545455
0.2,2.054545455,68.2,488.4909091,0.2,2.109090909,16.94545455,173.4909091,0.0,0.0,0.345454545,4.709090909
0.2,2.072727273,75.25454545,539.6363636,0.2,2.145454545,20.25454545,197.3090909,0.0,0.0,0.327296531,4.491235726
0.199978184,2.072501182,77.43495573,502.627225,0.2,2.127272727,22.36363636,220.7818182,0.0,0.0,0.290909091,3.981818182
0.200003636,2.072764959,57.56258977,353.5753895,0.2,2.109090909,24.81863307,231.5133002,0.0,0.0,0.18183140600000006,2.491090261
0.2,2.090909091,60.78673744,400.3853705,0.2,2.1636363640000003,24.40576864,226.4535254,0.0,0.0,0.181824794,2.490999673
0.200003636,2.090947108,70.52855506,479.0087092,0.2,2.1636363640000003,23.54545455,216.7272727,0.0,0.0,0.018183802,0.236389424
0.2,2.127272727,74.72727273,483.0909091,0.200007273,2.145532565,29.1646969,277.2464453,0.0,0.0,0.0,0.0
0.199992728,2.127195375,55.65454545,385.0,0.2,2.145454545,22.89090909,216.5454545,0.0,0.0,0.0,0.0
0.20001091,2.109205957,71.63375877,511.3268608,0.2,2.1636363640000003,20.87234778,211.32343050000003,0.0,0.0,0.0,0.0
0.200007273,2.090985127,81.92131481,574.7763798999998,0.2,2.145454545,21.94545455,222.9818182,0.0,0.0,0.0,0.0
0.2,2.127272727,77.10909091,521.3272727,0.199974549,2.127002018,20.87272727,209.6909091,0.0,0.0,0.0,0.0
0.2,2.090909091,58.92941562,420.1061857,0.2,2.109090909,25.18181818,248.8909091,0.0,0.0,0.0,0.0
0.199996364,2.090871075,70.23636364,510.8909091,0.200021821,2.109321017,18.09090909,179.36363640000005,0.0,0.0,0.0,0.0
0.19998182,2.07253886,80.88649709999999,579.8956421,0.2,2.109090909,19.8,198.4909091,0.0,0.0,0.0,0.0
